N,Advertiser,Product,Artist,Song,Year,Title,Link,RawInfo
36,Sprint,,Møme,Playground,2019,Sprint Commercial Song – Hatch on Mobile 5G Network,https://www.tvadvertmusic.com/2019/03/video-sprint-hatch-5g/,"The ‘Brighter Future For All’ Sprint TV commercial promotes its Mobile 5G Network as one built for unlimited gaming on phones, with no delays, hiccups or lag-time for users of the Hatch gaming app, which offers over 100 games.Ad Music: Playground. Artist: Møme.Download or stream with iTunes & Amazon.This suitably fast-paced 2019 Hatch and Sprint commercial song is a piece of dance music called Playground, which was recorded by the French DJ, Møme. This tune is taken from the Nice artists 2016 album Panorama.March 2, 2019"
38,Dove,,Kelly Rowland,Crown,2019,Dove Commercial Song – Kelly Rowland – Crown,https://www.tvadvertmusic.com/2019/02/video-dove-kelly-rowland/,"Singer and actress Kelly Rowland stars in this new 2019 TV commercial for Dove hair care products.This full-length version of the ad video shows girls and women talking about some of the bad experiences they’ve had in their lives relating to their hair. The campaign tells viewers that “No matter the texture. . . Different hair is beautiful”.Advert Music: Crown. Artist: Kelly Rowland.Download or stream from iTunes & Amazon.This #MyHairMyCrown Dove Commercial song is a new track by Kelly Rowland that the Destiny’s Child singer recorded for this Dove advertising campaign. Simply titled Crown, the full-length version of this song is now available to download.February 27, 2019"
39,State Farm,,House Of Pain,Jump Around,2019,State Farm Commercial Song – Jump Around with Houston Rockets Mascot,https://www.tvadvertmusic.com/2019/02/video-state-farm-jump-around/,"Houston Rockets players Chris Paul and James Harden star alongside the Cuban-American comedian and actor Oscar Nuñez in this new 2019 TV commercial for State Farm, with Oscar playing insurance agent Cole Perez.Stealing the show in this latest ad spot is Houston’s NBA mascot Clutch the Rocket Bear. who fires what I assume are t-shirts from the kitchen when the music begins to play.Ad Song: Jump Around. Artist: House Of Pain.Download or preview on iTunes & Amazon.The State Farm commercial song in question is the hip-hip track Jump Around that was released in 1992 by Californian group House Of Pain. Produced by DJ Muggs of fellow hip-hop group Cypress Hill, the single peaked at number 3 on the US Billboard Hot 100.February 26, 2019"
40,Michelob ULTRA Pure Gold,,Sofi Tukker,Energia,2019,Michelob ULTRA Pure Gold Commercial Song – Return To Nature,https://www.tvadvertmusic.com/2019/02/video-michelob-ultra-gold/,"Michelob’s new TV ad for their ULTRA Pure Gold beer shows men and women escaping their modern city lives, crawling, running, even flying their way into the country, as they return to nature.Ad Music: Energia. Artist: Sofi Tukker.Download from Amazon & iTunes.This 2019 Michelob ULTRA Pure Gold commercial song is a track called Energia that was released for download last year by New York-based musical duo Sofi Tukker, who consist of members Sophie Hawley-Weld and Tucker Halpern. Energia was the third single released from the group’s debut dance album, Treehouse.February 25, 2019"
41,Cadillac SUV 2019,,Childish Gambino,Me and Your Mama,2019,Cadillac SUV 2019 Commercial Song – Rise Above,https://www.tvadvertmusic.com/2019/02/cadillac-suv-2019-commercial-song-rise-above/,"Cadillac promotes its ‘uncompromising’ range of SUVs in this new Rise Above Oscars TV commercial.The video shows clips of successful women and men who keep rising to the top of their respective professions, which appear to include the worlds of entertainment and mixed martial arts. The ad finishes with the voiceover saying “May the road rise up to meet you. May the wind be at your back. Rise above”.Ad Music: Me and Your Mama. Artist: Childish Gambino.Download from Amazon & iTunes.This latest 2019 Cadillac SUV commercial song is titled Me and Your Mama and was recorded by the American singer and rapper Childish Gambino, whose real name is Donald Glover. This track is taken from the artists’ third studio album “Awaken, My Love!”."
42,Budweiser Reserve Copper Lager,,Run-DMC,It’s Tricky,2019,Budweiser Reserve Copper Lager Commercial with Actress Charlize Theron,https://www.tvadvertmusic.com/2019/02/budweiser-reserve-copper-lager-song-actress/,"South African and American actress Charlize Theron stars in this new Oscars 2019 TV commercial for Budweiser Reserve Copper Lager.The ad tells us “There’s a new Bud in town” and, going by this video, they’re not just talking about the beer. We see Charlize in a bar, beating a bunch of guys at pool, darts, the punching power machine, and even some arm wrestling, all while keeping hold of her beer.Ad Music: It’s Tricky. Artist: Run-DMC.Download from iTunes & Amazon.This Budweiser Reserve Copper Lager commercial song that Charlize selects on the jukebox is a track by hip-hop group Run-DMC called It’s Tricky. The song features on the New York artists 1986 third album Raising Hell. This same tune was used in last years H&M Christmas advert, which starred Aubrey Plaza. Meanwhile, you may remember seeing Charlize Theron in a recent revealing campaign video for the Dior fragrance, J’adore Absolu.February 19, 2019"
43,Burger King,,Eric Carmen,All By Myself,2019,Burger King Commercial – All By Myself,https://www.tvadvertmusic.com/2019/02/video-burger-king-myself/,"Despite what the lyrics to this February 2019 Burger King commercial song suggest, it appears there are actually some positive aspects to being all by yourself.The ad video shows The King having a sad day out on his own, that is until he comes across the You Pick For $6 meals and even finds a chicken to eat with.Ad Music: All By Myself. Singer: Eric Carmen.Download or preview on Amazon & iTunes.The soundtrack to this latest Burger King commercial is All By Myself, which was released in 1975 by Ohio singer-songwriter and musician Eric Carmen. Since just missing out on the US Billboard Hot 100 top spot, this soft rock ballad has been covered by such artists as Celine Dion and Jamie O’Neal.February 11, 2019"
44,Lincoln Navigator,,Sarah Vaughan,Make Yourself Comfortable,2019,2019 Lincoln Navigator Commercial Song – Serena Williams,https://www.tvadvertmusic.com/2019/02/video-lincoln-navigator-serena/,"Tennis champion Serena Williams reclines here seat back and relaxes in her new 2019 Lincoln Navigator as the rain falls outside in this new TV commercial, which claims the luxury SUV’s interior isn’t just a cabin, but rather a sanctuary.Ad Music: Make Yourself Comfortable. Singer: Sarah Vaughan.Download or preview via Amazon & iTunes.Featuring the lyrics “I’ve got some records here to put you in the mood”, this Lincoln Navigator commercial song is a piece of music called Make Yourself Comfortable that was recorded by the American jazz singer Sarah Vaughan.Lincoln Sanctuary YouTube ad video upload date: February 10, 2019."
45,Butterfinger Alien,,Jamie N Commons,Rumble And Sway,2019,Butterfinger Alien Commercial Song – Better Than Ever,https://www.tvadvertmusic.com/2019/02/video-butterfinger-alien-better/,"Candy bar brand Butterfinger use this new 2019 TV commercial to spread the word that their improved recipe uses high-quality jumbo peanuts, is crispety, crunchety and now better than ever.The ad video shows this message grabbing the attention of a recovered alien, who races to the store in what looks like a very dusty classic Corvette Stingray, to taste a bar for themself. The ad ends with the alien given the new Butterfinger bar a very big thumbs up!Ad Music: Rumble And Sway. Singer: Jamie N Commons.Download from Amazon & iTunes.This alien Butterfinger commercial song is titled Rumble And Sway and was released for download in 2013 by the British blues and folk rock singer-songwriter and musician Jamie N Commons.February 2, 2019"
46,Mastercard,,Camila Cabello feat. Young Thug,Havana,2019,Mastercard Commercial with Camila Cabello,https://www.tvadvertmusic.com/2019/02/video-mastercard-camila-cabello/,"Cuban-American singer Camila Cabello stars in this new 2019 Mastercard ad and invites viewers to “Start Something Priceless”.This advert shows the former Fifth Harmony girl group member walking down a city sidewalk, surprising people with gifts as she goes. The video finishes with the tagline ‘Every day is a chance to make someone’s day’. As well as giving out lots of cupcakes, Camila also receives one herself after she drops the first.Advert Music: Havana. Artists: Camila Cabello feat. Young Thug.Download or preview on Amazon.This Mastercard commercial song we hear playing is Camila’s global 2017 hit single Havana, which features US rapper Young Thug and made it to number 1 on the Billboard Hot 100. This track previously supplied the soundtrack to a popular TV ad for Lincoln Cars.February 1, 2019"
47,Google Pixel 3,,Childish Gambino,Summertime Magic,2019,Google Pixel 3 Commercial – Playmoji with Childish Gambino,https://www.tvadvertmusic.com/2019/01/video-google-pixel-playmoji/,"Google showcase their Pixel 3’s Playmoji feature in this new February 2019 TV ad, which shows a girl competing in a dance-off against a virtual animated emoji male dancer: The Childish Gambino Playmoji. The video ends with the girl telling us “Now it’s your turn to play”.Advert Music: Summertime Magic. Singer: Childish Gambino.Download in full from Amazon & iTunes.This Google Pixel 3 commercial song is a tune called Summertime Magic that was released for download last year. As you’ve probably guessed from the theme of this advert, the single was recorded by Childish Gambino, which is the stage name of the American rapper, singer, comedian, and actor Donald Glover.January 31, 2019"
48,Budweiser 2019 Super Bowl,,Bob Dylan,Blowin’ In the Wind,2019,Budweiser 2019 Super Bowl Commercial Song – Wind,https://www.tvadvertmusic.com/2019/01/video-budweiser-super-bowl/,"Budweiser are one of the first brands to launch their 2019 Super Bowl commercial video online, with this full length ‘Wind Never Felt Better’ campaign.The film shows a dog riding on the back of a horse-drawn carriage, which is carrying crates of Bud. The camera then pans out to reveal a modern day landscape of wind turbines, as the ad informs us their beer is now brewed with wind power for a better tomorrow.Advert Music: Blowin’ In the Wind. Singer: Bob Dylan.Download or preview on Amazon & iTunes.Opening with the lyrics “How many roads must a man walk down”, this years Budweiser Super Bowl commercial song is the 1962 single Blowin’ In the Wind that was written and recorded by American singer-songwriter Bob Dylan.January 15, 2019"
49,Ram Heavy Duty 2019,,A Thousand Horses,My Time’s Coming,2019,Ram Heavy Duty 2019 Commercial Song – Champion,https://www.tvadvertmusic.com/2019/01/video-ram-2019-champion/,"This new TV commercial promotes the 2019 Ram Heavy Duty, which the company claim are their most capable lineup of trucks ever.The 60-second video shows the trucks being driven on and off road for work and pleasure.Advert Music: My Time’s Coming. Band: A Thousand Horses.Now available to download in full from iTunes.Featuring the lyrics “I’m a champion”, this 2019 Ram Trucks commercial song is a new track called My Time’s Coming. Having just been released exclusively in creative collaboration with Ram, this song was recorded by Nashville country music group A Thousand Horses.Ram Trucks Champion YouTube ad video release date: January 15, 2019."
50,GMC Sierra,,Steam,Na Na Hey Hey Kiss Him Goodbye,2019,GMC Sierra Commercial Song – Anthem,https://www.tvadvertmusic.com/2019/01/video-gmc-sierra-anthem/,"GMC promote their Next Generation Sierra pickup truck in this new Anthem TV commercial, which focuses on the vehicles Six-Function MultiPro Tailgate, claiming this is the ‘Tailgate To End All Tailgates’.Advert Music: Na Na Hey Hey Kiss Him Goodbye. Original Artists: Steam.Preview or download on Amazon & iTunes.This 2019 GMC commercial song that all the people in the video are singing is called Na Na Hey Hey Kiss Him Goodbye. This song was originally recorded in 1969 by New York City pop-rock band Steam and was covered in the 80’s by British female pop trio Bananarama.GMC Next Generation Sierra – Anthem YouTube ad video release date: January 4, 2019."
51,Head & Shoulders Shampoo,,Campfire (feat. Shane Eli),Superhuman,2019,Head & Shoulders Shampoo Commercial Song – #Headstrong,https://www.tvadvertmusic.com/2019/01/video-head-shoulders-headstrong/,"Anti-dandruff shampoo brand Head & Shoulders asks what it means to be headstrong in this new #Headstrong ad campaign.According to the video, some of the other qualities that come with being headstrong include being determined and stubborn, as well as having the effect of raising the bar and raising eyebrows.Advert Music: Superhuman. Artists: Campfire (feat. Shane Eli).Preview or download on Amazon & iTunes.This 2019 Head & Shoulders commercial song is a track called Superhuman by hip-hop artist Campfire. The single was released for download in early 2017 and features Los Angeles-based rapper and producer Shane Eli.Head & Shoulders #Headstrong YouTube ad video release date: January 9, 2019."
52,Walmart,,Gary Numan,Cars,2019,Walmart Commercial Song – Famous Cars Grocery Pickup,https://www.tvadvertmusic.com/2019/01/video-walmart-commercial-cars/,"Walmart begin the new year with this great new 90-second commercial video, which features loads of famous cars from movies and TV shows, all being used to do the grocery pickup.Some of the iconic automobiles pulling into the parking lot include the Ghostbusters car, Bumblebee from Transformers, the Batmobile, the dog-car-van from Dumb and Dumber, the Scooby Doo van, and of course, Kitt from Knight Rider.Advert Music: Cars. Singer: Gary Numan.Preview or download on iTunes & Amazon.Choosing the most obvious and probably best soundtrack for the video, this 2019 Walmart commercial song is the appropriately-titled Cars. This tune was released in 1979 by English singer-songwriter and composer Gary Numan and made it to number 9 on the US Billboard Hot 100.Walmart Grocery Pickup – Famous Cars YouTube ad video release date: January 6, 2019."
53,CHANEL Chance,,Sam Spiegel & Tropkillaz (feat. Bia & MC Pikachu),Perfect,2019,CHANEL Chance Commercial Song – Eau Tendre,https://www.tvadvertmusic.com/2019/01/video-chanel-chance/,"To promote their new Eau de Parfum Chance Eau Tendre, Chanel have just released this commercial titled ‘Take A New Chance’.Representing the four different Chance fragrances, this film was directed by Jean-Paul Goude and shows lots of women dancing with chairs at an audition session.Advert Music: Perfect. Artists: Sam Spiegel & Tropkillaz (feat. Bia & MC Pikachu).Preview or download on iTunes & Amazon.This 2019 Chanel Chance commercial song is a brand-new track called Perfect that has only just been released for download. The song was recorded by Sam Spiegel and Tropkillaz, along with featured artists Bia and MC Pikachu.January 1, 2019"
54,Nature’s Way Alive!,,Michael Franti & Spearhead,I’m Alive (Life Sounds Like),2019,Nature’s Way Alive! Commercial Song – Own The Morning,https://www.tvadvertmusic.com/2019/01/video-natures-way-alive/,"Vitamin, mineral, herb and probiotics brand Nature’s Way promote their range of Alive! multi-vitamins in this latest TV ad, which encourages us to ‘Own The Morning’.Advert Music: I’m Alive (Life Sounds Like). Artists: Michael Franti & Spearhead.Preview or download on Amazon & iTunes.As you may have guessed from the lyrics, this 2019 Nature’s Way Alive commercial song is titled I’m Alive. The track was released back in 2013 by Californian singer-songwriter and musician Michael Franti and his musical project Spearhead. This tune can also be downloaded as part of the album All People.January 7, 2019"
55,Google Assistant Christmas,,Brenda Lee,Rockin’ Around the Christmas Tree,2018,Google Assistant Christmas Commercial – Home Alone Again,https://www.tvadvertmusic.com/2018/12/video-google-assistant-home/,"This new 2018 TV commercial for Google Assistant shows how times have changed since Macaulay Culkin starred as 8-year-old Kevin McCallister in the festive comedy film Home Alone.This new ad shows the now 38-year-old actor home alone again over the holiday season, but this time with a Google Assistant and smart tech to make him feel and appear far from alone.Advert Music: Rockin’ Around the Christmas Tree . Singer: Brenda Lee.Download or preview on iTunes, Amazon.com & Amazon UK.This Google Assistant commercial song, that we hear more towards the end of the video, is Rockin’ Around the Christmas Tree. This is the original version of the song that was recorded in 1958 by American singer Brenda Lee.December 12, 2018"
56,Chase,,Basement Jaxx,Do Your Thing,2019,Chase Commercial Song 2019 – Free To Fly,https://www.tvadvertmusic.com/2018/12/video-chase-commercial-fly/,"JPMorgan Chase & Co. promote the Chase Private Client in this latest TV ad. The Free To Fly video stars Maya: A lady who’s just sent off the final payment for her daughter’s tuition and is now ready to begin following her dream of flying planes, with some help of a J.P. Morgan advisor.Commercial Music: Do Your Thing. Artists: Basement Jaxx.Download or preview on iTunes & Amazon.The 2019 Chase commercial song playing in the background of this video is called Do Your Thing and was released in 2001 by British electronic music duo Basement Jaxx, featuring Elliot May. This track can also be found on the groups’ second album, Rooty.December 23, 2018"
57,,,Bee Gees,Stayin’ Alive,2018,Walmart – Last-Minute Christmas Gifts with Pickup,https://www.tvadvertmusic.com/2018/12/video-walmart-last-minute/,"Walmart’s latest TV ad of this years holiday season lets viewers, who’re looking to buy last-minute gifts, know that if they order by 4 pm on December 23, they can pickup for free on Christmas Eve.Advert Music: Stayin’ Alive. Artists: Bee Gees.Preview or download on Amazon & iTunes.This last-minute pickup Christmas Walmart ad song in the 1977 disco track Stayin’ Alive by pop group the Bee Gees. This song features on the soundtrack to the John Travolta movie Saturday Night Fever.December 15, 2018"
58,Lyft,,Incredible Bongo Band,Apache,2018,Lyft Commercial Song – Nope/Yep,https://www.tvadvertmusic.com/2018/12/video-lyft-nope-yep/,"On-demand transport company and Uber alternative, Lyft, have just released their latest TV commercial, which shows a man repeatedly saying “Nope”, as he gives up on driving his own car and reverses all the way home.Once there, the guy uses the Lyft phone app to order a ride so all those nopes change to “Yep”.Advert Music: Apache. Artists: Incredible Bongo Band.Preview or download on iTunes & Amazon.This 2018 to 2019 Lyft commercial song, which becomes more recognizable towards the end of the ad video, is called Apache. This version of the tune was released in 1973 by funk music project the Incredible Bongo Band and features on the album Bongo Rock.Lyft Nope/Yep YouTube advert video release date: December 12, 2018."
59,E*TRADE,,George Clinton,Atomic Dog,2018,E*TRADE Commercial Song – Bow Wow Wow,https://www.tvadvertmusic.com/2018/12/video-etrade-commercial-song/,"Financial investing and trading company E*TRADE promote their services in this new ‘There are dogs with better lives than you – Bow Wow Wow’ TV commercial.As the title suggests, this ad video features lots of pampered pooches, living the kind of lifestyles most of us humans can only dream of.Advert Music: Atomic Dog. Artist: George Clinton.Preview or download at Amazon & iTunes.This 2018 to 2019 E*TRADE commercial song is a track called Atomic Dog, which was released in 1982 by North Carolina singer-songwriter George Clinton. This tune has since been sampled many times by a large selection of artists, including by rapper Snoop Doggy Dogg for the single What’s My Name?December 6, 2018"
60,KIT KAT,,Missy Elliott,Work It,2018,KIT KAT Commercial Song – Reverse Break,https://www.tvadvertmusic.com/2018/12/video-kit-kat-break/,"This latest KIT KAT TV ad reminds us that ‘Breaks Are Good’ and encourages us to ‘Have One’.Titled ‘Reverse Break’, the video shows fingers of the chocolate-covered wafer snack being broken in half, before then rewinding back into a whole piece.Advert Music: Work It. Artist: Missy Elliott.Preview or download on Amazon & iTunes.This 2018 to 2019 Kit Kat commercial song is the hip-hop track Work It by Virginia rapper Missy Elliott. Co-written by music producer Timbaland, the single was released in 2002 and features on the artists’ fourth studio album Under Construction.December 5, 2018"
61,Google – Year In Search,,Ruelle,Where We Come Alive,2018,Google – Year In Search Commercial 2018,https://www.tvadvertmusic.com/2018/12/video-google-year-search/,"Google have just released their annual ‘Year In Search’ commercial for 2018, which again features video clips of the biggest and best news stories of the last 12 months.Some of the most searched for events this year included the cave rescue of the Thai soccer team, the US midterm elections and the World Cup. Lot’s of people also appear to have been searching for tips on how to be a good dancer, kisser and listener.Advert Music: Where We Come Alive. Singer: Ruelle.This Year In Search 2018 Google commercial song is called Where We Come Alive and was recorded by Mississippi electronic pop singer-songwriter Ruelle, whose real name is Margaret Eckford. This tune so far hasn’t been released for download as a single.December 4, 2018"
62,Cadillac Season’s Best Sales Event,,The Sensations,Let Me In,2019,Cadillac Season’s Best Sales Event Commercial,https://www.tvadvertmusic.com/2018/12/video-cadillac-sales-event/,"Cadillac promote their Season’s Best Sales Event in this TV ad, which shows the 2019 XT5 SUV being driven through a snow-covered wilderness.Advert Music: Let Me In. Artists: The Sensations.Preview or download at Amazon & iTunes.This Cadillac ad soundtrack is a tune called Let Me In that was released in 1961 by Philadelphia doo-wop group The Sensations. The songs lyrics and music were written by Yvonne Baker, with the single going on to reach number 4 on the U.S. Billboard Hot 100.December 4, 2018"
63,,,The Zombies,Time of the Season,2018,Applebee’s – Holiday Gift Cards,https://www.tvadvertmusic.com/2018/12/video-applebees-holiday-song/,"Applebee’s Grill & Bar promote their bonus holiday gift cards and some very tasty-looking food in this new Eatin’ Good in the Neighborhood TV commercial.Advert Music: Time of the Season. Artists: The Zombies.Download or preview at Amazon & iTunes.This holidays 2018 Applebee’s commercial song is called Time of the Season and was recorded by British rock band the Zombies. This track was released in 1968 and features on the groups’ second studio album Odessey and Oracle.December 3, 2018"
64,Lincoln Sales Event,,Brook Benton,I Wanna Be with You (Everywhere You Go),2018,Lincoln Sales Event Commercial Song – A Dog’s Wish,https://www.tvadvertmusic.com/2018/12/video-lincoln-sales-event/,"Lincoln promote their holiday Wish List Sales Event in this new A Dog’s Wish TV commercial, which shows a woman driving home through the snow, while her canine companion eagerly waits at home for her arrival.The ad video concludes with the pair being happily reunited and the voiceover saying “The greatest wish of all is one that brings us together”.Advert Music: I Wanna Be with You (Everywhere You Go). Singer: Brook Benton.Preview or download on Amazon & iTunes.This Wish List Sales Event 2018 Lincoln commercial song is titled I Wanna Be with You (Everywhere You Go) and was recorded back in 1966 by American R&B and soul singer-songwriter Brook Benton.December 1, 2018"
65,Lincoln Holidays,,Lee Fields & The Expressions,I’m Coming Home,2018,Lincoln Holidays Commercial Song – A Dog’s Wish,https://www.tvadvertmusic.com/2018/12/video-lincoln-dogs-song/,"This ad from the Lincoln Motor Company has to be one of the best and most emotional commercials of the 2018 holiday season.Titled ‘A Dog’s Wish: Heard Around The World’, the video shows lots of very excited dogs delighted to be reunited with their equally happy owners.Advert Music: I’m Coming Home. Artists: Lee Fields & The Expressions.Preview or download at iTunes & Amazon.This holidays Lincoln commercial song is called I’m Coming Home and was recorded by soul singer Lee Fields & The Expressions. Featuring the lyrics “It’s been a long, long day”, this song was released in 2016 and is featured on the album Special Night.December 2, 2018"
66,Old Navy Christmas,,,,2018,Old Navy Christmas Commercial – Jingle Jammies,https://www.tvadvertmusic.com/2018/12/video-old-navy-song/,"Clothing and accessories retailer Old Navy showcase a selection of items from their 2018 Christmas collection and promote deals of up to 60% off in this latest Jingle Jammies Are Our Jam! TV commercial.The 30-second ad video shows a young brass band performing and dancing in a parade while wearing some of the brands’ sleepwear and sweaters.This Christmas Old Navy commercial song that the band is playing appears to be an instrumental version of the calypso tune Jump in the Line (Shake, Señora), which was originally composed by Lord Kitchener, with vocals from American actor and singer Harry Belafonte.Old Navy Jingle Jammies Are Our Jam! YouTube ad video release date: December 6, 2018."
67,FOX Winter Preview,,Extreme Music,Here Right Now,2018,FOX Winter Preview Commercial Song,https://www.tvadvertmusic.com/2018/12/video-fox-winter-song/,"FOX Broadcasting has just released this new ‘Winter Will Be Captivating’ TV trailer, which previews some of the TV shows coming to our screens in this 2018 to 2019 season.The commercial video includes clips of The Masked Singer, Proven Innocent, The Passage, Family Guy, Gotham: Legend of the Dark Knight, The Resident, The Orville, Gordon Ramsay’s 24 HRS to Hell and Back, Bob’s Burgers, and The Simpsons. “That sounds like fun”.Advert Music: Here Right Now. Artists: Extreme Music.Download or preview on Amazon & iTunes.This 2018 FOX commercial song is a track called Here Right Now that was released in 2015 by Extreme Music and features on the album Glory Pop 2.1 December, 2018"
68,Missouri Lottery Holiday Scratchers,,Johnny Stanton & The Feathers,More Than Enough For Me,2018,Missouri Lottery Holiday Scratchers Commercial Song,https://www.tvadvertmusic.com/2018/12/video-missouri-lottery-scratchers/,"This new TV commercial for Missouri Lottery Holiday Scratchers shows a group of friends reacting to a guy opening a gift of a coffee mug as if he’d just won a load of money on a scratch card.The ad video then finishes with the voiceover telling viewers “Noone ever won half a million dollars from a coffee mug. Give a gift actually worth celebrating”.Advert Music: More Than Enough For Me. Artists: Johnny Stanton & The Feathers.Download or preview on iTunes.This 2018 MO Lottery Holiday Scratchers commercial song is called More Than Enough For Me and was recorded by Johnny Stanton & The Feathers.December 7, 2018"
69,Heineken Holiday,,Dean Martin,You’re Nobody ‘Til Somebody Loves You,2018,Heineken Holiday Commercial Song,https://www.tvadvertmusic.com/2018/12/video-heineken-holiday-song/,"Heineken are the latest company to bring out their Holiday 2018 TV ad campaign, with the beer brand telling us that ‘Tradition doesn’t always have to be traditional’.The video guides us around a party, introducing viewers to all the family members and whoever that guy is.Advert Music: You’re Nobody ‘Til Somebody Loves You. Singer: Dean Martin.Download or preview on iTunes & Amazon.This 2018 Heineken holidays commercial song is American singer Dean Martin’s version of You’re Nobody ‘Til Somebody Loves You, which was written by James Cavanaugh, Larry Stock and Russ Morgan, and recorded by Dean in 1960.November 25, 2018"
70,DHL Christmas,,David Tobin & Jeff Meegan,Christmas List,2018,DHL Christmas Commercial Song,https://www.tvadvertmusic.com/2018/12/video-dhl-christmas-song/,"Global logistics and parcel delivery company DHL wish viewers a Merry Christmas in this new TV ad, which has been uploaded to YouTube with less than two weeks to go until the big day.The animated holiday season video shows a young girl asking DHL to bring her brother and sister a big present.Advert Music: Christmas List. Artists: David Tobin & Jeff Meegan.Preview or download on Amazon & iTunes.This 2018 DHL commercial song is called Christmas List and has just been released for download as a single. The festive swing, big band track was recorded by David Tobin and Jeff Meegan and was first released on Audio Network in 2013.December 8, 2018"
71,Macy’s,,,,2018,Macy’s Commercial – Cozy for the Holidays,https://www.tvadvertmusic.com/2018/11/video-macys-holidays/,"Macy’s new 2018 Christmas commercial invites viewers to “Believe in the wonder of the holidays”, as the ad video shows a woman performing magic to transform the home and herself, with household products and fashion items from Macy’s.This holidays Macy’s commercial song is a jazzy and bassy tune, with some quiet vocals in the background. We so far haven’t been able to identify the name of the track or who recorded it, but we’ll update this page if we receive more information.Macy’s Cozy for the Holidays YouTube ad video release date: November 29, 2018."
72,Toyotathon,,,,2018,Toyotathon Commercial Video – Home for the Holidays,https://www.tvadvertmusic.com/2018/11/video-toyotathon-holidays/,"Toyota USA has now begun airing their 2018 Toyotathon TV commercial, which this year is titled Home for the Holidays.As the name hints at, the video tells the story of a boy missing his father, who’s currently away serving with the armed forces. But with his dad coming home for Christmas, the son enlists the help of other kids and adults on his street to build a line of saluting snowmen.This 2018 Toyotathon commercial song was recorded by Californian and New York singers Sara Bareilles and Ingrid Michaelson This piece of music is called Winter Song and was first released in 2008.Liberty Toyota Toyotathon: Home for the Holidays – Let’s Go Places YouTube ad video upload date: November 29, 2018."
73,Burger King,,Willie Nelson,Always On My Mind,2018,Burger King Commercial – Dogpper,https://www.tvadvertmusic.com/2018/11/video-burger-king-song/,"This new 2018 TV commercial from Burger King shows men and women about to take a bite out of a tasty Whopper, before they catch their dog watching on, and that feeling of guilt arrives.But it appears the fast food chain have been thinking of our four-legged friends, because now when you order a Whopper & Dogpper combo, you’ll also receive a flame-grilled tasting bone.Advert Music: Always On My Mind. Artist: Willie Nelson.Preview or download at iTunes, Amazon.This 2018 Burger King commercial song is the Willie Nelson version of Always On My Mind, which the American country music singer and musician recorded in 1982. The single reached number 5 on the US Billboard Hot 100 and topped the Hot Country Songs chart.November 22, 2018"
74,Toyota,,Sara Bareilles & Ingrid Michaelson,Winter Song,2018,Toyota Commercial Song – Holidays 2018 Toyotathon,https://www.tvadvertmusic.com/2018/11/video-toyota-holidays-commercial/,"Here’s the full-length version of Toyota USA’s emotional new ‘Toyotathon – Home for the Holidays’ commercial, which says ‘Let’s bring everyone closer this holiday’.The moving TV ad video shows a young boy building an army of snowmen with his friends, ready for the arrival of his dad who’s returning home for Christmas from military service.Advert Music: Winter Song. Artists: Sara Bareilles & Ingrid Michaelson.Preview or download at iTunes, Amazon.This holiday 2018 Toyota commercial music is titled Winter Song and was recorded by Californian singer-songwriter Sara Bareilles, and New York City singer-songwriter and actress Ingrid Michaelson. Featuring the lyrics “This is my winter song. December never felt so wrong” and released for download in 2008, this track also features on the album The Hotel Café presents… Winter Songs.November 22, 2018"
75,,,Michael Kiwanuka,Cold Little Heart,2016,Mercedes-Benz GLE – Long Run,https://www.tvadvertmusic.com/2018/11/video-mercedes-gle-run/,"Titled ‘In the Long Run’, this commercial for the Mercedes-Benz GLE SUV follows a female triathlete and her family on the day of a big race.While the woman is busy swimming, cycling and running, her daughter waits anxiously at home, before messaging her dad to ask him to pick her up and drive her to the triathlon. This extended advert video then concludes with the tagline ‘For all the miles that make you stronger’.Advert Music: Cold Little Heart. Singer: Michael Kiwanuka.Download or preview at Amazon & iTunes.This Mercedes-Benz GLE ad soundtrack is titled Cold Little Heart and was recorded by English soul musician and singer-songwriter Michael Kiwanuka. This piece of music was released for download in 2016 and is taken from the album Love & Hate.November 29, 2018"
76,California Lottery,,Júníus Meyvant,Signals,2018,California Lottery Commercial Song – Gift of Scratchers,https://www.tvadvertmusic.com/2018/11/video-california-lottery-song/,"This new TV commercial for the Californian Lottery tells us that “The gift is in the giving” and encourages viewers to “Give the gift of Scratchers”.The ad video follows a woman who’s trying to get to know the other residents living in her new apartment building. After being initially blanked, the lady decides to personally mail everyone a Holiday Sparkle scratch card.Advert Music: Signals. Artist: Júníus Meyvant.Download or preview at Amazon, iTunes.Featuring the lyrics “Sending out signals to you”, this 2018 California Lottery Scratchers commercial song was first released in 2015 by Icelandic singer-songwriter Júníus Meyvant, whose real name is Unnar Gísli Sigurmundsson. This track, which is simply titled Signals, is taken from the artists Floating Harmonies album.California Lottery YouTube ad video upload date: November 27 2018."
